public_key,friendly_name,twitter_handle,website
B62qqV16g8s744GHM6Dph1uhW4fggYwyvtDnVSoRUyYqNvTir3Rqqzx,Ducca | StakeTab,https://twitter.com/staketab,https://staketab.com/
B62qpge4uMq4Vv5Rvc8Gw9qSquUYd6xoW1pz7HQkMSHm6h1o7pvLPAN,MinaExplorer,https://twitter.com/_garethtdavies,https://docs.minaexplorer.com/minaexplorer/staking-pool
B62qrQiw9JhUumq457sMxicgQ94Z1WD9JChzJu19kBE8Szb5T8tcUAC,Piconbello,https://twitter.com/piconbello,https://mina.piconbello.com/
B62qm5ESJuFWe5JypXPQMyuw2BzkVXGHFgNBgeuvBnfiLKRaqYRW6rX,node75,,https://node75.org/
B62qjmUyv9D4GQ35RFSDrXjMqgFYW4VtDkuv1q8TnxosPqxSJcbdvzG,Stake Mina,https://twitter.com/xrockal,https://stakemina.com/
B62qik2auL1VbkX6fijdzwT6fGgjpi8caKUH6vbov573DbdT2UbQkDp,0base.vc,https://twitter.com/0baseVC,https://mina.0base.vc/
B62qnAZCj1kbyDHpxo6Lm9yM2FqMj4ffJTQzJeiPhgkzpEw1S33caCZ,Stardust,https://twitter.com/StardustStaking,https://starduststaking.com/
B62qs2P91UjdhngetBJ57C56HQ8t5V7ECAYWBvpkaC45ovXNgnzqfG6,Amsterdam Stake Club,,https://www.amsterdamstake.club/
B62qrvWNDUE6HraKjMNFDEZ8eYYaiTCF75CVNUXMsL7DTs4DYjfsmEe,Anovernode.to 🇮🇹,,https://anovernode.top/
B62qjBpH4zeWgy4d4p59qUXDA3DtYeCyBrRM286sdXZFw4A8SiswfBh,Appload,,https://appload.online
B62qijDC2gCTtcqYGnUAc9YgH2Uw4fzr8xEKKL4faZmWyAypgEe3oWC,Bit Cat🐱,https://twitter.com/BitCat365,https://www.bitcat365.com
B62qqch9XkiTS8BLUDSM1sayfXNAtnYnQFChktYG1bfCJkDMUqs98Xr,BitNordic,https://twitter.com/BitNordic,https://bitnordic.com/
B62qkj3CCj2V3pBPPufCuWSkoP2RwjAZkgPZfLKFUae3hPoBEhRtmyo,BiXinKeLePool,https://twitter.com/PoolCola,https://www.kelepool.com
B62qmHXHN1torRGxgZGYMLuUJ15mdAmAAaf9F6SZXBHSwPEEaH2wq3a,Bware Labs,https://twitter.com/BwareLabs,https://www.bwarelabs.com/
B62qq6ZYPG5JsjZnGJ3pADmRn6hU6qy13EhraTSymjSgyEDwoDR9Gd6,Carbonara 🍝- WeStake.club⚡️,https://twitter.com/CarbonaraCrypto,https://westake.club/
B62qmFf6UZn2sg3j8bYLGmMinzS2FHX6hDM71nFxAfMhvh4hnGBtkBD,Chorus One,https://twitter.com/chorusone,https://chorus.one/
B62qjWchpjVwmbEazciy3VSBZhJNVF28RcDQirLFpH2rvfmDrtXL382,ImStaked,,https://imstaked.com/
B62qoWWs3NfAPtVKRnZF96gEF3MWbptg9bzC254AQNswpk9WwTFkjS4,Cryptoved,https://twitter.com/CryptoDealFlow1,https://crypto-markets.ru/obshhie-instrukcii/mina/
